ze. angle  camRot angle   temp (C)     dx (mm)      dy (mm)      dz (mm)     Rx (rad)   Ry (rad)    Rz (rad)
0.000e+00   0.000e+00   -9.900e+01   -1.000e-04   -5.600e-03   0.000e+00   0.000e+00   0.000e+00   1.312e-07   
9.000e+01   0.000e+00   -9.900e+01   4.300e-03   -3.316e-01   0.000e+00   0.000e+00   0.000e+00   -1.436e-06   
9.000e+01   9.000e+01   -9.900e+01   -3.233e-01   1.200e-03   0.000e+00   0.000e+00   0.000e+00   6.894e-05   
-9.900e+01   -9.900e+01   -1.000e+01   -1.368e-02   2.624e-02   0.000e+00   0.000e+00   0.000e+00   5.367e-06   
-9.900e+01   -9.900e+01   -5.000e+00   -5.480e-03   2.164e-02   0.000e+00   0.000e+00   0.000e+00   1.243e-06   
-9.900e+01   -9.900e+01   0.000e+00   2.720e-03   1.704e-02   0.000e+00   0.000e+00   0.000e+00   -2.882e-06   
-9.900e+01   -9.900e+01   5.000e+00   1.092e-02   1.244e-02   0.000e+00   0.000e+00   0.000e+00   -7.006e-06   
-9.900e+01   -9.900e+01   1.000e+01   1.915e-02   7.810e-03   0.000e+00   0.000e+00   0.000e+00   -1.114e-05   
-9.900e+01   -9.900e+01   1.500e+01   2.740e-02   3.160e-03   0.000e+00   0.000e+00   0.000e+00   -1.529e-05   
-9.900e+01   -9.900e+01   2.000e+01   3.565e-02   -1.490e-03   0.000e+00   0.000e+00   0.000e+00   -1.943e-05   
-9.900e+01   -9.900e+01   2.500e+01   4.390e-02   -6.140e-03   0.000e+00   0.000e+00   0.000e+00   -2.357e-05   
