ze. angle  camRot angle   temp (C)     dx (mm)      dy (mm)      dz (mm)     Rx (rad)   Ry (rad)    Rz (rad)
0.000e+00   0.000e+00   -9.900e+01   -1.000e-04   -5.100e-03   0.000e+00   0.000e+00   0.000e+00   -3.233e-08   
9.000e+01   0.000e+00   -9.900e+01   4.400e-03   -3.756e-01   0.000e+00   0.000e+00   0.000e+00   -1.423e-06   
9.000e+01   9.000e+01   -9.900e+01   -3.765e-01   1.100e-03   0.000e+00   0.000e+00   0.000e+00   6.896e-05   
-9.900e+01   -9.900e+01   -1.000e+01   -1.530e-02   1.533e-02   0.000e+00   0.000e+00   0.000e+00   4.927e-06   
-9.900e+01   -9.900e+01   -5.000e+00   -5.800e-03   1.238e-02   0.000e+00   0.000e+00   0.000e+00   8.685e-07   
-9.900e+01   -9.900e+01   0.000e+00   3.700e-03   9.430e-03   0.000e+00   0.000e+00   0.000e+00   -3.190e-06   
-9.900e+01   -9.900e+01   5.000e+00   1.320e-02   6.480e-03   0.000e+00   0.000e+00   0.000e+00   -7.248e-06   
-9.900e+01   -9.900e+01   1.000e+01   2.273e-02   3.500e-03   0.000e+00   0.000e+00   0.000e+00   -1.132e-05   
-9.900e+01   -9.900e+01   1.500e+01   3.228e-02   5.000e-04   0.000e+00   0.000e+00   0.000e+00   -1.540e-05   
-9.900e+01   -9.900e+01   2.000e+01   4.183e-02   -2.500e-03   0.000e+00   0.000e+00   0.000e+00   -1.947e-05   
-9.900e+01   -9.900e+01   2.500e+01   5.138e-02   -5.500e-03   0.000e+00   0.000e+00   0.000e+00   -2.355e-05   
